Network Code,Station Code,Name,Latitude,Longitude,Elevation,Operational From
CU,ANWB,North Barbuda Island,17.669,-61.786,39.0,2007
CU,BBGH,"Gun Hill, Barbados",13.142999999999999,-59.559,180.0,2006
CU,BCIP,"Isla Barro Colorado, Panama",9.166,-79.837,61.0,2006
CU,GRGR,"Grenville, Grenada",12.132,-61.653999999999996,195.0,2006
CU,GRTK,"Grand Turk, Turks and Caicos Islands",21.511,-71.133,12.0,2007
CU,GTBY,"Guantanamo Bay, Cuba",19.927,-75.111,79.0,2007
CU,MTDJ,"Mount Denham, Jamaica",18.226,-77.535,925.0,2007
CU,SDDR,"Presa de Sabenta, Dominican Republic",18.982,-71.288,589.0,2006
CU,TGUH,"Tegucigalpa, Honduras",14.057,-87.273,1151.0,2006
GT,BDFB,"Brasilia, Distrito Federal, Brazil",-15.642000000000001,-48.015,1095.0,1993
GT,BGCA,"Bogoin, Central African Republic",5.176,18.424,676.0,1994
GT,BOSA,"Boshof, South Africa",-28.614,25.256,1306.0,1993
GT,CPUP,"Villa Florida, Paraguay",-26.331,-57.331,100.0,1994
GT,DBIC,"Dimbokro, Ivory Coast",6.67,-4.857,161.0,1994
GT,LBTB,"Lobatse, Botswana",-25.015,25.596999999999998,1148.0,1993
GT,LPAZ,"La Paz, Bolivia",-16.288,-68.131,4786.0,1993
GT,PLCA,"Paso Flores, Argentina",-40.733000000000004,-70.551,1049.0,1994
GT,VNDA,"Dry Valley, Vanda, Antarctica",-77.517,161.85299999999998,98.0,1993
IC,BJT,"Baijiatuan, Beijing, China",40.018,116.16799999999999,137.0,1994
IC,ENH,"Enshi, Hubei Province, China",30.276,109.494,500.0,1997
IC,HIA,"Hailar, Neimenggu Autonomous Region, China",49.27,119.741,620.0,1994
IC,KMI,"Kunming, Yunnan Province, China",25.123,102.74,1940.0,1996
IC,LSA,"Tibet, China",29.703000000000003,91.12700000000001,3645.0,1995
IC,MDJ,"Mudanjiang, Heilongjiang Province, China",44.618,129.593,240.0,1996
IC,QIZ,"Qiongzhong, Hainan Province, China",19.029,109.844,240.0,2001
IC,SSE,"Shanghai, China",31.095,121.191,40.0,1996
IC,WMQ,"Urumqi, Xinjiang Province, China",43.81399999999999,87.705,844.0,1995
IC,XAN,"Xi'an, China",34.031,108.92399999999999,630.0,1992
II,AAK,"Ala Archa, Kyrgyzstan",42.638999999999996,74.494,1645.0,1990
II,ABKT,"Alibek, Turkmenistan",37.93,58.119,678.0,1993
II,ABPO,"Ambohimpanompo, Madagascar",-19.018,47.229,1528.0,2007
II,ALE,"Alert, N.W.T., Canada",82.50299999999999,-62.35,60.0,1990
II,ARU,"Arti, Russia",56.43,58.562,250.0,1988
II,ASCN,"Butt Crater, Ascension Island",-7.933,-14.36,173.0,1994
II,BFO,"Black Forest Observatory, Schiltach, Germany",48.332,8.331,589.0,1996
II,BORG,"Borgarfjordur, Asbjarnarstadir, Iceland",64.747,-21.326999999999998,110.0,1994
II,BRVK,"Borovoye, Kazakhstan",53.058,70.283,330.0,1994
II,CMLA,"Cha de Macela, Sao Miguel Island, Azores",37.764,-25.524,429.0,1996
II,COCO,"West Island, Cocos (Keeling) Islands",-12.19,96.835,1.0,1996
II,DGAR,"Diego Garcia, Chagos Islands, Indian Ocean",-7.412000000000001,72.453,1.0,2004
II,EFI,"Mount Kent, East Falkland Island",-51.675,-58.06399999999999,110.0,1996
II,ERM,"Erimo, Hokkaido Island, Japan",42.015,143.157,40.0,1990
II,ESK,"Eskdalemuir, Scotland, UK",55.317,-3.205,242.0,1987
II,FFC,"Flin Flon, Canada",54.725,-101.978,338.0,1993
II,HOPE,"Hope Point, South Georgia Island",-54.284,-36.488,20.0,1996
II,JTS,"Las Juntas de Abangares, Costa Rica",10.290999999999999,-84.95299999999999,340.0,1995
II,KAPI,"Kappang, Sulawesi, Indonesia",-5.013999999999999,119.75200000000001,300.0,1999
II,KDAK,"Kodiak Island, Alaska, USA",57.783,-152.583,152.0,1997
II,KIV,"Kislovodsk, Russia",43.955,42.68600000000001,1054.0,1988
II,KURK,"Kurchatov, Kazakhstan",50.715,78.62,184.0,1995
II,KWAJ,"Kwajalein Atoll, Pacific Ocean",8.802,167.613,0.0,1999
II,LVZ,"Lovozero, Russia",67.898,34.650999999999996,630.0,1992
II,MBAR,"Mbarara, Uganda",-0.602,30.738000000000003,1390.0,1999
II,MSEY,"Mahe, Seychelles",-4.6739999999999995,55.479,475.0,1995
II,MSVF,"Monasavu, Fiji",-17.745,178.053,801.1,1994
II,NIL,"Nilore, Pakistan",33.650999999999996,73.26899999999999,629.0,1994
II,NNA,"Nana, Peru",-11.988,-76.842,575.0,1988
II,NRIL,"Norilsk, Russia",69.505,88.441,92.0,1992
II,OBN,"Obninsk, Russia",55.115,36.567,160.0,1988
II,PALK,"Pallekele, Sri Lanka",7.273,80.702,460.0,2000
II,PFO,"Pinon Flat, California, USA",33.611,-116.456,1280.0,1986
II,RAYN,"Ar Rayn, Saudi Arabia",23.523000000000003,45.503,631.0,1996
II,RPN,"Rapanui, Easter Island, Chile",-27.127,-109.334,110.0,1987
II,SACV,"Santiago Island, Cape Verde",14.97,-23.608,387.0,2000
II,SHEL,"Horse Pasture, St. Helena Island",-15.959000000000001,-5.746,537.0,1995
II,SUR,"Sutherland, South Africa",-32.38,20.811999999999998,1770.0,1990
II,TAU,"Hobart, Tasmania, Australia",-42.91,147.32,132.0,1994
II,TLY,"Talaya, Russia",51.681000000000004,103.64399999999999,579.0,1990
II,WRAB,"Tennant Creek, NT, Australia",-19.934,134.36,366.0,1994
IU,ADK,"Adak, Aleutian Islands, Alaska",51.882,-176.68400000000003,130.0,1993
IU,AFI,"Afiamalu, Samoa",-13.909,-171.783,706.0,1993
IU,ANMO,"Albuquerque, New Mexico, USA",34.946,-106.45700000000001,1816.0,1989
IU,ANTO,"Ankara, Turkey",39.868,32.793,1090.0,1992
IU,BBSR,"Bermuda Institute of Ocean Sciences, St George's Bermuda",32.371,-64.696,30.0,2002
IU,BILL,"Bilibino, Russia",68.065,166.453,320.0,1995
IU,CASY,"Casey, Antarctica",-66.279,110.535,10.0,1996
IU,CCM,"Cathedral Cave, Missouri, USA",38.056,-91.245,172.0,1989
IU,CHTO,"Chiang Mai, Thailand",18.814,98.944,420.0,1992
IU,COLA,"College Outpost, Alaska, USA",64.874,-147.862,200.0,1996
IU,COR,"Corvallis, Oregon, USA",44.586000000000006,-123.305,110.0,1989
IU,CTAO,"Charters Towers, Australia",-20.088,146.25,367.0,1991
IU,DAV,"Davao, Philippines",7.07,125.579,150.0,1994
IU,DWPF,"Disney Wilderness Preserve, Florida, USA",28.11,-81.433,30.0,1998
IU,FUNA,"Funafuti, Tuvalu",-8.526,179.197,20.0,2004
IU,FURI,"Mt. Furi, Ethiopia",8.895,38.68,2570.0,1997
IU,GNI,"Garni, Armenia",40.148,44.74100000000001,1609.0,1991
IU,GRFO,"Grafenberg, Germany",49.691,11.22,285.0,1994
IU,GUMO,"Guam, Mariana Islands",13.589,144.868,170.0,1991
IU,HKT,Hockley1 Texas,29.965,-95.838,-381.0,1995
IU,HNR,"Honiara, Solomon Islands",-9.439,159.947,99.0,1993
IU,HRV,"Adam Dziewonski Observatory (Oak Ridge), Massachusetts, USA",42.506,-71.558,200.0,1988
IU,INCN,"Inchon, Republic of Korea",37.478,126.624,55.0,1995
IU,JOHN,"Johnston Island, USA",16.733,-169.52900000000002,2.0,1998
IU,KBL,"Kabul, Afghanistan",34.541,69.043,1913.0,2006
IU,KBS,"Ny-Alesund, Spitzbergen, Norway",78.915,11.937999999999999,90.0,1994
IU,KEV,"Kevo, Finland",69.757,27.003,85.0,1993
IU,KIEV,"Kiev, Ukraine",50.701,29.224,180.0,1995
IU,KIP,"Kipapa, Hawaii, USA",21.42,-158.011,77.0,1988
IU,KMBO,"Kilima Mbogo, Kenya",-1.127,37.251999999999995,1930.0,1995
IU,KNTN,"Kanton, Kiritibati",-2.7739999999999996,-171.71900000000002,20.0,2007
IU,KONO,"Kongsberg, Norway",59.648999999999994,9.597999999999999,216.0,1991
IU,KOWA,"Kowa, Mali",14.497,-4.013999999999999,321.0,1998
IU,LCO,"Las Campanas Astronomical Observatory, Chile",-29.011,-70.70100000000001,2274.0,1998
IU,LSZ,"Lusaka, Zambia",-15.277999999999999,28.188000000000002,1200.0,1994
IU,LVC,"Limon Verde, Chile",-22.613000000000003,-68.911,2930.0,1996
IU,MA2,"Magadan, Russia",59.576,150.77,335.0,1993
IU,MACI,"Morro de la Arena, Canary Islands",28.25,-16.508,1674.0,2008
IU,MAJO,"Matsushiro, Japan",36.546,138.204,405.0,1990
IU,MAKZ,"Makanchi, Kazakhstan",46.808,81.977,600.0,1996
IU,MBWA,"Marble Bar, Western Australia",-21.159000000000002,119.73100000000001,190.0,2001
IU,MIDW,"Midway Island, USA",28.215999999999998,-177.37,20.0,1999
IU,MSKU,"Masuku, Gabon",-1.656,13.612,312.0,1999
IU,NWAO,"Narrogin, Australia",-32.928000000000004,117.23899999999999,380.0,1991
IU,OTAV,"Otavalo, Ecuador",0.23800000000000002,-78.45100000000001,3509.0,2000
IU,PAB,"San Pablo, Spain",39.545,-4.35,950.0,1992
IU,PAYG,"Puerto Ayora, Galapagos Islands",-0.674,-90.286,270.0,1998
IU,PET,"Petropavlovsk, Russia",53.023,158.65,96.0,1993
IU,PMG,"Port Moresby, New Guinea",-9.405,147.16,90.0,1993
IU,PMSA,"Palmer Station, Antarctica",-64.774,-64.04899999999999,40.0,1993
IU,POHA,"Pohakuloa, Hawaii, USA",19.757,-155.533,1990.0,1999
IU,PTCN,"Pitcairn Island, South Pacific",-25.070999999999998,-130.095,220.0,1996
IU,PTGA,"Pitinga, Brazil",-0.731,-59.967,237.0,1995
IU,QSPA,South Pole Remote Earth Science Observatory (Quiet Zone),-89.929,144.438,2600.0,2002
IU,RAO,"Raoul, Kermadec Islands",-29.245,-177.929,60.0,2004
IU,RAR,"Rarotonga, Cook Islands",-21.212,-159.773,28.0,1992
IU,RCBR,"Riachuelo, Brazil",-5.827000000000001,-35.900999999999996,400.0,1999
IU,RSSD,"Black Hills, South Dakota, USA",44.121,-104.036,2090.0,1999
IU,SAML,"Samuel, Brazil",-8.949,-63.183,120.0,2003
IU,SBA,"Scott Base, Antarctica",-77.84899999999999,166.757,50.0,1998
IU,SDV,"Santo Domingo, Venezuela",8.884,-70.634,1590.0,1994
IU,SFJD,"Sondre Stromfjord, Greenland",66.99600000000001,-50.621,330.0,2005
IU,SJG,"San Juan, Puerto Rico",18.109,-66.15,420.0,1993
IU,SLBS,"Sierra la Laguna Baja California Sur, Mexico",23.686,-109.944,825.0,2008
IU,SNZO,"South Karori, New Zealand",-41.309,174.704,120.0,1992
IU,SSPA,"Standing Stone, Pennsylvania",40.635999999999996,-77.888,270.0,1994
IU,TARA,"Tarawa Island, Republic of Kiribati",1.355,172.923,20.0,2007
IU,TATO,"Taipei, Taiwan",24.974,121.49700000000001,160.0,1992
IU,TEIG,"Tepich, Yucatan, Mexico",20.226,-88.27600000000001,10.0,1996
IU,TIXI,"Tiksi, Russia",71.634,128.86700000000002,40.0,1995
IU,TRIS,Tristan da Cunha,-37.068000000000005,-12.315,58.0,2004
IU,TRQA,"Tornquist, Argentina",-38.056999999999995,-61.979,540.0,2000
IU,TSUM,"Tsumeb, Namibia",-19.202,17.584,1260.0,1994
IU,TUC,"Tucson, Arizona",32.31,-110.785,910.0,1992
IU,ULN,"Ulaanbaatar, Mongolia",47.865,107.053,1610.0,1994
IU,WAKE,Wake Island,19.283,166.65200000000002,20.0,1997
IU,WCI,"Wyandotte Cave, Indiana, USA",38.229,-86.294,210.0,1997
IU,WVT,"Waverly, Tennessee, USA",36.13,-87.83,170.0,1997
IU,XMAS,"Kiritimati Island, Republic of Kiribati",2.045,-157.446,19.0,1997
IU,YAK,"Yakutsk, Russia",62.031000000000006,129.68,96.0,1993
IU,YSS,"Yuzhno Sakhalinsk, Russia",46.958999999999996,142.76,148.0,1992
